n_estimators,max_depth,min_leaf,threshold,precision,recall,f1,TP,FP,FN,TN
100,10,10,0.56,0.7291666666666666,0.7070707070707071,0.717948717948718,70,26,29,255
100,10,10,0.58,0.7567567567567568,0.5656565656565656,0.6473988439306358,56,18,43,263
100,10,10,0.6,0.7903225806451613,0.494949494949495,0.6086956521739131,49,13,50,268
100,10,10,0.62,0.8,0.4444444444444444,0.5714285714285714,44,11,55,270
100,10,10,0.64,0.8095238095238095,0.3434343434343434,0.48226950354609927,34,8,65,273
100,10,10,0.66,0.8214285714285714,0.23232323232323232,0.36220472440944884,23,5,76,276
100,10,10,0.68,0.8823529411764706,0.15151515151515152,0.25862068965517243,15,2,84,279
100,10,10,0.7,0.8181818181818182,0.09090909090909091,0.16363636363636364,9,2,90,279
100,10,10,0.72,0.75,0.030303030303030304,0.05825242718446602,3,1,96,280
100,10,10,0.74,1.0,0.010101010101010102,0.02,1,0,98,281
100,10,10,0.76,1.0,0.010101010101010102,0.02,1,0,98,281
100,10,10,0.78,0.0,0.0,0.0,0,0,99,281
100,10,10,0.8,0.0,0.0,0.0,0,0,99,281
200,None,1,0.2,0.5144508670520231,0.898989898989899,0.6544117647058824,89,84,10,197
200,None,1,0.22,0.5393939393939394,0.898989898989899,0.6742424242424243,89,76,10,205
200,None,1,0.24,0.5471698113207547,0.8787878787878788,0.6744186046511628,87,72,12,209
200,None,1,0.26,0.5723684210526315,0.8787878787878788,0.6932270916334661,87,65,12,216
200,None,1,0.28,0.5972222222222222,0.8686868686868687,0.7078189300411524,86,58,13,223
200,None,1,0.3,0.6222222222222222,0.8484848484848485,0.7179487179487178,84,51,15,230
200,None,1,0.32,0.6585365853658537,0.8181818181818182,0.7297297297297297,81,42,18,239
200,None,1,0.34,0.6982758620689655,0.8181818181818182,0.7534883720930233,81,35,18,246
200,None,1,0.36,0.7142857142857143,0.8080808080808081,0.7582938388625592,80,32,19,249
200,None,1,0.38,0.7476635514018691,0.8080808080808081,0.7766990291262135,80,27,19,254
200,None,1,0.4,0.7745098039215687,0.797979797979798,0.7860696517412936,79,23,20,258
200,None,1,0.42,0.7894736842105263,0.7575757575757576,0.7731958762886598,75,20,24,261
200,None,1,0.44,0.7906976744186046,0.6868686868686869,0.735135135135135,68,18,31,263
200,None,1,0.46,0.7721518987341772,0.6161616161616161,0.6853932584269664,61,18,38,263
200,None,1,0.48,0.7733333333333333,0.5858585858585859,0.6666666666666667,58,17,41,264
200,None,1,0.5,0.7536231884057971,0.5252525252525253,0.6190476190476191,52,17,47,264
200,None,1,0.52,0.7619047619047619,0.48484848484848486,0.5925925925925926,48,15,51,266
200,None,1,0.54,0.75,0.45454545454545453,0.5660377358490566,45,15,54,266
200,None,1,0.56,0.7586206896551724,0.4444444444444444,0.5605095541401274,44,14,55,267
200,None,1,0.58,0.7777777777777778,0.42424242424242425,0.5490196078431373,42,12,57,269
200,None,1,0.6,0.7959183673469388,0.3939393939393939,0.5270270270270271,39,10,60,271
200,None,1,0.62,0.782608695652174,0.36363636363636365,0.496551724137931,36,10,63,271
200,None,1,0.64,0.85,0.3434343434343434,0.48920863309352514,34,6,65,275
200,None,1,0.66,0.8571428571428571,0.30303030303030304,0.4477611940298507,30,5,69,276
200,None,1,0.68,0.8387096774193549,0.26262626262626265,0.4,26,5,73,276
200,None,1,0.7,0.8928571428571429,0.25252525252525254,0.3937007874015748,25,3,74,278
200,None,1,0.72,0.8846153846153846,0.23232323232323232,0.368,23,3,76,278
