incident_key,cluster,pca_x,pca_y,severe,automation_level
093aec1cc60c75d,1,3.116541001039977,2.0841139799152244,0,ADS
09469caf5d9c17e,0,-1.7071308330188844,1.4231249988973127,1,L2
09491993b531b44,0,-3.301064179581646,0.2978291460982127,1,L2
095020482669c02,0,0.5000665681909799,-3.805908416360786,1,L2
09531ba31a1bd07,1,4.558350251493099,-3.9383987825776545,1,ADS
095c0af6c1903f6,0,-1.3946488307288412,-4.171652509057428,1,L2
095ed0d330a4a69,0,-2.8879481926452444,0.5521112920674278,1,L2
096969d05839150,0,-3.013473808495974,0.7304555399829958,1,L2
096cbe73d238396,0,-0.16475846377342154,1.738480008900755,1,L2
0970db815c69f65,0,-2.6722646216014114,0.9161476329530226,1,L2
098610196e0335e,1,0.8679075738274373,-3.726010379014879,1,L2
09864e0a8be778f,0,-3.5031908956687507,0.3082562107090025,1,L2
09896cc44540d29,0,0.4211429871414077,1.7618390132494721,1,L2
09904a03b2631e9,1,4.619034289604915,-3.8786098368026107,1,ADS
099872341bcede6,0,-4.002902247800051,0.276464985317375,1,L2
09a6538cda878d8,1,0.853312803373625,1.5570675916503072,1,L2
09b6743ce996a24,0,-3.6980988004670317,0.31831088015512105,1,L2
09bb39587235f03,0,-3.0378174723110574,1.0810448068366056,1,L2
09bd565608862e0,1,0.5926403836019277,1.5405905009124525,1,L2
09cbebc1497ed36,0,-0.6556985892325723,1.7878516599966163,1,L2
09d67cf970a314a,1,3.5808542049371606,1.6064004843172444,0,ADS
09da98d121ebd94,1,-0.8860615429961785,1.4559835555008962,1,L2
09e260ff04fde7e,1,3.6812803260324634,1.5578234021182775,0,ADS
09f9f235603a80e,1,0.6240287877607426,1.584679677128143,1,L2
0a06c110596fb66,0,-3.3588146698922476,0.3008083074155811,1,L2
0a0ce89450005f8,0,-1.2638241807280366,1.248740936018626,1,L2
0a13e468fe82e15,1,4.709566054954935,-3.816024394787707,0,ADS
0a1decfeac5ba7c,0,-1.8864373002219912,1.6384280511106246,1,L2
0a2b2e77acb770d,0,-2.630278759553478,0.7845944820335772,1,L2
0a39c04c0350356,1,3.7316507421912943,1.7460634624424087,0,ADS
0a48c42029ea0af,0,-2.11503324170079,1.5892425330979587,1,L2
0a8ab61db2d081b,1,-0.8924590516643545,1.528575497594742,1,L2
0a9d07327046ede,0,-1.418043624598132,1.6684840107497623,1,L2
0aae415c3555b99,0,-2.8820453414828457,-4.419240277303863,1,L2
0ab0e26462d346b,1,2.8911960300406236,-4.081909178815121,1,ADS
0ab346be8d1f1ca,0,-1.5483857284678533,-3.868774892588521,1,L2
0ac08781d984b96,0,-2.0943087447744393,-4.943657699933489,1,L2
0ac98a849a496e7,0,-3.6519392750328232,1.42813987630479,1,L2
0ad9a7a129a9653,0,-2.5972592518610296,-5.167263787717018,1,L2
0ae63aab61427f9,0,-2.691103798615757,-5.162422650576294,1,L2
0aede111f221c1f,0,-2.6044780631498545,-5.166891392552347,1,L2
0af5ed944abe6b7,1,4.633612143032588,-3.9759286871257538,0,ADS
0afbe0209c6ceb2,1,1.6562610185169695,1.53694698911636,1,ADS
0b01b063261158e,1,2.691689740784226,2.02617459105553,0,ADS
